timestamp,memory_MB
1747045927.5494096,70.62
1747045932.5496676,71.31
1747045937.5485473,72.94
1747045942.550008,75.31
1747045947.5485115,75.44
1747045952.5484638,75.45
1747045957.550352,75.45
1747045962.5488486,76.20
1747045967.5487158,76.45
1747045972.5482194,76.45
1747045977.548669,76.45
1747045982.55341,76.45
1747045987.5484388,76.70
1747045992.5487404,76.70
1747045997.548505,76.70
1747046002.5488453,76.70
1747046007.5486598,76.82
1747046012.54832,76.95
1747046017.548689,78.81
1747046022.548946,78.93
1747046027.549006,79.06
1747046032.548362,79.18
1747046037.5486138,79.18
1747046042.5501637,79.31
1747046047.548289,79.31
1747046052.5481634,79.56
1747046057.5487962,79.56
1747046062.548503,79.68
1747046067.5485463,79.68
1747046072.5481772,79.93
1747046077.5486155,79.93
1747046082.5486484,79.93
1747046087.5485983,80.06
1747046092.5489132,80.06
1747046097.548313,80.06
1747046102.5483975,80.18
1747046107.5627913,80.31
1747046112.548102,80.43
1747046117.5487702,80.56
1747046122.5492833,80.56
1747046127.5485063,80.68
1747046132.5480156,80.68
1747046137.5483665,80.68
1747046142.5488927,80.68
1747046147.5486777,80.81
1747046152.548128,80.93
1747046157.5479288,80.93
1747046162.5481293,81.43
1747046167.5483422,81.56
1747046172.5480208,81.68
1747046177.5478551,81.68
1747046182.5483124,81.68
1747046187.5505502,81.68
1747046192.5484047,81.81
1747046197.5483766,81.81
1747046202.5481858,81.93
1747046207.5485935,82.06
1747046212.547896,82.18
1747046217.5482194,82.18
1747046222.5481958,82.31
1747046227.548372,82.31
1747046232.548078,82.43
1747046237.5483632,82.43
1747046242.548348,86.18
1747046247.548466,86.43
1747046252.548066,90.06
1747046257.5483146,90.06
1747046262.5482285,90.06
1747046267.5481076,90.06
1747046272.547894,90.06
1747046277.5486577,90.06
1747046282.548138,90.06
1747046287.5481308,90.06
1747046292.54776,90.06
1747046297.5485106,90.06
1747046302.548339,90.06
1747046307.5490818,90.06
1747046312.547908,90.06
1747046317.549035,90.06
1747046322.548558,90.06
1747046327.5482976,90.06
1747046332.5480976,90.06
1747046337.5480022,90.06
1747046342.5483253,90.06
1747046347.54804,90.06
1747046352.548998,90.06
1747046357.547943,90.06
1747046362.5478437,90.06
1747046367.5521765,90.06
1747046372.5480294,90.06
1747046377.5477176,90.06
1747046382.5496492,90.06
1747046387.5494413,90.06
1747046392.5480373,90.06
1747046397.5481389,90.06
1747046402.558204,90.06
1747046407.5479965,90.06
1747046412.5478463,90.06
1747046417.5540338,90.06
1747046422.5481808,90.06
1747046427.5484226,90.06
1747046432.5480566,90.06
1747046437.548153,90.06
